class,f1_score,precision,recall,support
237,0.9,237.0,0.93,0.92
238,0.69,238.0,0.95,0.8
239,0.97,239.0,0.95,0.96
240,0.9,240.0,0.84,0.87
241,0.75,241.0,0.91,0.82
242,0.61,242.0,0.71,0.65
243,0.57,243.0,0.7,0.63
244,0.79,244.0,0.73,0.76
245,0.77,245.0,0.92,0.84
246,0.54,246.0,0.88,0.67
247,0.62,247.0,0.89,0.73
248,0.4,248.0,0.52,0.45
249,0.93,249.0,1.0,0.96
250,0.97,250.0,0.97,0.97
251,1.0,251.0,1.0,1.0
252,0.98,252.0,0.98,0.98
253,0.79,253.0,0.85,0.82
254,0.55,254.0,0.74,0.63
255,0.73,255.0,0.92,0.81
